X,Y,OBJECTID,PARCELID,PROPERTY_UNIT,WARDID,PLANNINGCOMMUNITYID,NEIGHBOURHOOD_ASSOCIATIONID,ADDRESS,APPLICATION_NO,STATUS,APPLICANT,PROPERTY_OWNER,FOLDERRSN,FOLDERYEAR,FOLDERNAME,FOLDERTYPE,SUBTYPE,PRIMARY_PROPERTY,ISSUED_BY,DESCRIPTION,COMBINED_APPLICATION,INDATE,PUBLIC_STATUS_UPDATE,PSI_MTG_DATE,DSD_MTG_DATE,NHBD_MTG_DATE,NHBD_SA_MTG_DATE,COUNCIL_MEETING_DATE,DRAFT_APPROVAL_DATE,REGIONAL_APPROVAL_DATE,REMOVAL_DATE,FINAL_DATE,HIGHLIGHT_APP,EXISTING_OPA_LANDUSE,PROPOSED_OPA_LANDUSE,EXISTING_ZONING,PROPOSED_ZONING,EXISTING_LANDUSE,PROPOSED_LANDUSE,PROP_MAX_RES_UNITS_INCIR,PROP_MAX_RES_UNITS_DA,PROPOSED_COMMERCIAL_HA,PROPOSED_INSTITUTIONAL_HA,PROPOSED_PARKLAND_HA,PROP_SIZE_HA,CONTACT_EMAIL,CONTACT_PHONE,CONTACT_TTY,PUBLIC_STATUS_DESC,AMANDA_STATUS_DESC,IMAGE_DESCR,IMAGE_LINK,THUMBNAIL_LINK,SORTID,GlobalID
542733.5078,4814391.9344,11,50061464,1011615,1,31,0,26  STANLEY AVE,ZBA21/019/S/BB,Issue Review,GSP GROUP INC.,NEWO HOLDINGS LIMITED,640111,21,26 STANLEY AVE & 31 SCHWEITZER ST,Zoning By-Law Amendment,Combined,1011615,"Brian Bateman, MCIP, RPP",To rezone the Site from Residential Four (R-4) and Residential Five (R-5) to the Low Rise Residential Five (RES-5) Zone with the a Site-Specific Provision to permit a maximum building height of 12.5 metres.,,2021/12/02 00:00:00+00,"A Neighbourhood Meeting was held on October 15, 2024, to discuss the owners re-submission request for a Vacant Land Condominium.  Please refer to supporting documentation tab for a link to Youtube of that recording.  Please provide written comments by October 22, 2024.",,,10/15/2024,,,,,,,Yes,Low Rise Residential,,R-3 and R-4,,vacant,,,,,,,,Brian.Bateman@kitchener.ca,519-741-2426,1-866-969-9994,Issue Review,Issue Review,Status is Step 3:Staff consolidating feedback and preparing recommendation,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep3.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_640111.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_640111.pdf,8dfc394b-5954-41ab-9b62-1df9bb4744a2
545792.2115,4808673.7827,12,50031447,1009363,2,35,7746,2934  KING ST E,OPA23/005/K/ES,Adopted,EVANS PLANNING,2748244 ONTARIO INC,681453,23,2934 KING ST E,Official Plan Amendment,Combined,1009363,"Eric Schneider, MCIP, RPP","To add Specific Policy Area 68 to Map 5 and Policy 15.D.12.68 to the text in the Official Plan to
allow for an increased Floor Space Ratio (FSR) of 2.6.",Yes,2023/03/24 00:00:00+00,"This application has been adopted by Kitchener City Council agenda on November 6, 2023. If you have any questions or require further clarification regarding appeals, please see https://olt.gov.on.ca/ or connect with the listed City Planning Contact. If you wish to be notified of the decision of the City of Kitchener with respect to these applications, you must make a written request to City Clerk, Legislative Services, 200 King Street West, P.O. Box 1118, Kitchener, Ontario, N2G 4G7.",10/30/2023,,08/24/2023,,11/06/2023,,02/07/2024,,,No,Commercial,Commercial with Special Policy Area 68.,,,Commercial plaza,"Mixed use building - The proposed redevelopment would replace and provide more than twice the existing commercial floor space (585 square metres existing, 1217 square metres proposed) as well as adding 77 dwelling units above the commercial floors.",,,,,,0.34,Eric.Schneider@kitchener.ca,519-741-2426,1-866-969-9994,Adopted,Adopted,Status is Step 4:Council Decision Communicated,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep4.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_681453.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_681453.pdf,6dfdf5c8-677d-4b2c-94b2-7bb3e3b8a22b
541819.9766,4810879.5418,13,50023812,1001469,10,1,7905,87  WEBER ST E,OPA23/012/W/CD,Adopted,MHBC PLANNING,"BALLFINCH HOLDINGS INC, BRIGADE HOLDINGS CORPORATION",687667,23,83 WEBER ST E,Official Plan Amendment,Combined,1001469,"Craig Dumart, MCIP, RPP",The purpose of the Official Plan Amendment is to establish site specific permission for an increase to the maximum permitted FSR from 4.5 to 13.7. C/R ZBA23/022/W/CD,,2023/07/06 00:00:00+00,Approved,10/02/2023,,08/03/2023,,10/16/2023,,,,,No,,,,,,,,,,,,,Craig.Dumart@kitchener.ca,519-741-2426,1-866-969-9994,Adopted,Adopted,Status is Step 4:Council Decision Communicated,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep4.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_687667.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_687667.pdf,f04a8745-3891-4a84-9a81-f4e0c5fe43e3
543087.9536,4804324.8609,14,50041563,1076281,5,44,7926,490  HURON RD,ZBA22/019/H/CD,Passed,MHBC PLANNING LTD,2517293 ONTARIO INC,661538,22,490 HURON RD,Zoning By-Law Amendment,Combined,1076281,"Craig Dumart, MCIP, RPP","To amend the site specific zoning regulations for the portion of the lands zoned MIX-3 to permit the ground floor of any building located within 25 metres of the Strasburg Road street line to have a minimum height of 4.5 metres, that no minimum or maximum percent of non-residential gross floor area be required, to permit a maximum building height of 24 storeys and 80 metres, to permit a maximum FSR of 4, and that no minimum Ground Floor Street Line Façade Width as a Percentage of the Width of the Abutting Street Line shall apply.",,2022/08/15 00:00:00+00,APPROVED,02/26/2024,,12/06/2023,,03/18/2024,,,,,No,,,,,,,,,,,,,Craig.Dumart@kitchener.ca,519-741-2426,1-866-969-9994,Passed,Passed,Status is Step 4:Council Decision Communicated,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep4.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_661538.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_661538.pdf,0f81352f-c1a3-4809-a85b-c2c0a0d4ae73
540847.8992,4805721.0752,15,50022421,1007571,6,54,7743,1198  FISCHER HALLMAN RD,OPA23/014/F/TS,Adopted,MHBC PLANNING,2821889 ONTARIO INC,687793,23,1198 FISCHER HALLMAN RD,Official Plan Amendment,Combined,1022850,"Tim Seyler, MCIP, RPP",Seeking an Official Plan Amendment to allow a mixed use development. The development will contain 2 residential towers (14 & 22 storeys in height) consisting of 373 residential units and commercial units on the ground floor.,Yes ZBA,2023/07/04 00:00:00+00,"This application has been adopted, and the file is now closed.",10/30/2023,,09/07/2023,,11/06/2023,,01/24/2024,,,No,,,,,Residential,Residential,,,,,,,Tim.Seyler@kitchener.ca,519-741-2426,1-866-969-9994,Adopted,Adopted,Status is Step 4:Council Decision Communicated,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep4.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_687793.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_687793.pdf,5b5bd385-f365-4b07-8bca-9323409ef616
543877.1561,4806341.8884,16,55104636,40271494,3,37,0,120  BULLOCK ST,OPA21/003/B/ES,Adopted,GSP GROUP INC.,PDCP BLOCK 5 INDUSTRIAL GP INC,621790,21,120 BULLOCK ST,Official Plan Amendment,Combined,40271494,"Eric Schneider, MCIP, RPP","To change the range of permitted land uses to those uses permitted by the General Industrial Employment designation to permit the construction of a 47,295 sq m industrial building",ZBA21/006/B/ES,2021/05/06 00:00:00+00,"The Region of Waterloo approved the Official Plan Amendment (OPA 14) in effect on November 9, 2021
If you have any questions or require further clarification regarding appeals, please see https://olt.gov.on.ca/ or connect with the listed City Planning Contact. If you wish to be notified of the decision of the City of Kitchener with respect to these applications, you must make a written request to City Clerk, Legislative Services, 200 King Street West, P.O. Box 1118, Kitchener, Ontario, N2G 4G7.",08/09/2021,,,,08/23/2021,,11/09/2021,,,,Commercial ,General Industrial Employment,,,Vacant,General Industrial,,,,,,10.11,Eric.Schneider@kitchener.ca,519-741-2426,1-866-969-9994,Adopted,Adopted,Status is Step 4:Council Decision Communicated,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep4.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_621790.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_621790.pdf,dd08f3d6-67ec-4649-b503-3177c45db9d1
542982.8505,4803240.1664,17,55092297,40266941,5,55,7926,  ROCKCLIFFE DR,OP16/001/R/KA,In Circulation,MHBC PLANNING,FREURE DEVELOPMENTS LIMITED,451227,16,ROCKCLIFFE DR,Official Plan Amendment,Combined,40266941,"Garett Stevenson, MCIP, RPP","To change the designation of the easterly portion of land to high rise residential, designate a future park area as open space, and to adjust the limits of wooded areas designated as open space.","Yes, a plan of subdivision and a Zoning By-law Amendment application are also proposed.",2016/10/17 00:00:00+00,This application has been circulated and staff are working to address comments identified during the review.,,,,,,,,,,No,,,,,Vacant,Residential ,,,,,,27.549,Garett.Stevenson@kitchener.ca,519-741-2426,1-866-969-9994,In Circulation,In Circulation,Status is Step 1:Notice of development sent and feedback requested,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep1.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_451227.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_451227.pdf,c7404bcc-df7d-4489-abd7-530baddf34a6
548724.1317,4806584.5325,18,50055918,1059492,3,40,0,4220  KING ST E,OPA22/003/K/CD,Adopted,GSP GROUP INC,"4220 KING STREET (KITCHENER) LIMITED, THE TRICAR GROUP",644348,22,4220 KING ST E & 25 SPORTSWORLD CROSSING RD,Official Plan Amendment,Combined,1059492,"Craig Dumart, MCIP, RPP",The Official Plan Amendment proposes to redesignate the Site from ‘Commercial Campus’ to ‘Mixed Use’ to permit the proposed high-density residential mixed-use building with a maximum Floor Space Ratio (“FSR”) of 4.0. C/R ZBA22/005/K/CD.,,2022/02/09 00:00:00+00,Approved,12/12/2022,,06/07/2022,,12/19/2022,,03/29/2023,,,No,Commercial Campus,mixed use,,,commercial,mixed use,,,,,,2.04,Craig.Dumart@kitchener.ca,519-741-2426,1-866-969-9994,Adopted,Adopted,Status is Step 4:Council Decision Communicated,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep4.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_644348.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_644348.pdf,d2fceec9-986d-4c9b-956a-77a902bca9f9
537579.0489,4805311.3646,19,50043119,1003640,5,28,7754,2219  OTTAWA ST S,ZBA22/016/O/AP,Under Review,POLOCORP INC.,KITCHENER TRUSSLER HOLDINGS 3 INC,659866,22,2219 OTTAWA ST S & 808 TRUSSLER RD,Zoning By-Law Amendment,Combined,1045092,"Andrew Pinnell, MCIP, RPP","The Subject Lands are currently zoned Agricultural (A-1) in Zoning By-law 85-1. The amendment proposes to bring the lands into Zoning By-law 2019-051 and apply the following zoning categories; RES-5 Low Rise Residential Five Zone with Site Specific Provisions, INS-1 Neighbourhood Institutional Zone with Site Specific Provisions, OSR-1 Recreation Zone, OSR-3 Open Space: Stormwater Management Zone, and NHC-1 Natural Heritage Conservation Zone.",,2022/07/27 00:00:00+00,"This Subdivision, Official Plan Amendment, and Zoning By-law Amendment application was appealed by the applicant to the Ontario Land Tribunal (OLT) in August 2023.  Decision authority for this application is now with the OLT.",,,,,,,,,,No,,,,,,,,,,,,,Andrew.Pinnell@kitchener.ca,519-741-2426,1-866-969-9994,Under Review,Under Review,Status is Step 1:Notice of development sent and feedback requested,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep1.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_659866.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_659866.pdf,4a5dfc99-f047-49dc-85ce-87e2daeebb17
541713.8542,4810708.5898,20,50023862,1072177,10,1,7905,276  KING ST E,ZBA20/015/K/AP,Passed,GSP GROUP INC.,276 KING EAST INC,600807,20,276 KING ST E,Zoning By-Law Amendment,Combined,1072177,"Andrew Pinnell, MCIP, RPP","The application proposes changes the Official Plan and Zoning By-law  in order to redevelop the property with a 7-storey mixed-use building. The ground floor would be for commercial use, while the upper six storeys would be for residential use. The application also requests to not require any parking for the residential use (note that the current zoning does not require parking for the commercial use).",OPA/ZBA/006/K/AP,2020/10/29 00:00:00+00,"This application was approved by Kitchener City Council on June 20, 2022. The related Official Plan Amendment was approved by the Region on July 27, 2022 as OPA 16.  The file is now closed.",06/13/2022,,04/28/2021,,06/20/2022,,,,,No,Market District,,D-2 / D-3,,Vacant/Commercial,Mixed Use,,,,,,,Andrew.Pinnell@kitchener.ca,519-741-2426,1-866-969-9994,Passed,Passed,Status is Step 4:Council Decision Communicated,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/ImagePublicStatusStep4.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Thumbnail_600807.jpg,https://app2.kitchener.ca/AppDocs/OpenData/AMANDADataSets/Supporting_Documents_List_600807.pdf,f232987d-ce90-4fa4-b042-050c97c161ec
